,airport,averageHourlyVisibility
0,ABE,14.515448652425375
1,ABI,15.395950410336805
2,ABQ,15.750939334644077
3,ABR,14.541254890082651
4,ABY,14.992638678710696
5,ACK,15.246479166666667
6,ACT,14.980606360307226
7,ACV,13.600896490515769
8,ACY,14.75546218786716
9,ADK,11.835680361743238
10,ADQ,14.326032560503625
11,AEX,14.337008764558956
12,AGS,14.745329483860532
13,AKN,13.931620439084726
14,ALB,14.771485102183487
15,ALO,14.222604353019518
16,ALS,15.069328722779904
17,ALW,13.983218203146361
18,AMA,10.224742178530619
19,ANC,13.548789350427375
20,APN,14.418227319766169
21,ART,13.804011535690432
22,ASE,14.786330740329447
23,ATL,14.339558751485864
24,ATW,10.170300944242952
25,ATY,14.218184279781738
26,AUS,14.492595806381471
27,AVL,14.935733715683158
28,AVP,14.409409736894276
29,AZA,10.26054668841251
30,AZO,13.732154157871726
31,BDL,14.496233829054896
32,BET,13.817500585097399
33,BFF,15.450653172550304
34,BFL,10.910364152966782
35,BFM,13.742810833333333
36,BGM,13.869400110689991
37,BGR,14.344361431639301
38,BHM,14.796175732100245
39,BIH,15.77964840664001
40,BIL,15.193042049696006
41,BIS,14.5130775866789
42,BJI,5.481084533091366
43,BKG,9.196
44,BLI,14.44030546201607
45,BLV,10.138647955150386
46,BMI,11.585472190544795
47,BNA,14.868553281246788
48,BOI,14.573963335327111
49,BOS,14.784908961922202
50,BPT,14.64772880286909
51,BQK,10.663421474655085
52,BQN,3.733011026934503
53,BRD,12.935573959189906
54,BRO,10.771445336820577
55,BRW,12.354572251844294
56,BTM,15.084651972294349
57,BTR,14.934093187548907
58,BTV,14.614023916262909
59,BUF,14.179992755464248
60,BUR,15.063386265894914
61,BWI,14.552738591811561
62,BZN,14.940511616785418
63,CAE,14.68919030866342
64,CAK,12.836088283025713
65,CDB,12.752540561224489
66,CDC,0.0
67,CDV,13.922884305164768
68,CGI,14.492981806160335
69,CHA,14.420894991321607
70,CHO,14.887293091044997
71,CHS,15.346361536656786
72,CID,13.326331266544901
73,CIU,0.0
74,CKB,14.760745695649668
75,CLE,14.104237496482147
76,CLL,14.95431746865274
77,CLT,14.475018820603808
78,CMH,14.065053953801858
79,CMI,0.0
80,CMX,13.371271964297495
81,CNY,15.77652260805438
82,COD,12.055043514457632
83,COS,15.337850387040714
84,COU,14.821497246948175
85,CPR,15.1934954157609
86,CRP,14.93711439798421
87,CRW,14.61602905010345
88,CSG,15.281478977374178
89,CVG,14.000910023659104
90,CWA,9.736533292703971
91,CYS,15.404495154273018
92,DAB,15.17983710116649
93,DAL,14.97875689703105
94,DAY,13.909962764334086
95,DBQ,14.136403935626197
96,DCA,15.13130572359363
97,DDC,14.413535586847317
98,DEC,14.371600064506143
99,DEN,9.934388466696777
100,DFW,14.973749663311242
101,DHN,14.94237707851546
102,DIK,14.457667018728353
103,DLG,1.6503363600431575
104,DLH,12.937806056946215
105,DRO,15.177766111781096
106,DRT,15.262826314907873
107,DSM,14.308137146872369
108,DTW,12.980945715401905
109,DUT,14.346199899813941
110,DVL,9.696484529994027
111,EAR,15.133570016229003
112,EAT,14.426653392378345
113,EAU,13.94728763006836
114,ECP,14.926367665460797
115,EGE,12.08514660557612
116,EKO,15.396706292803886
117,ELM,14.533695003123917
118,ELP,15.858823550118764
119,ERI,14.043643096878519
120,ESC,9.678747095971644
121,EUG,13.294643111218761
122,EVV,14.585793623310959
123,EWN,15.279868535894877
124,EWR,14.885100297740422
125,EYW,15.778077818853664
126,FAI,14.060104148895359
127,FAR,13.505042104296706
128,FAT,11.681650018158535
129,FAY,15.150774637274653
130,FCA,13.444984867134709
131,FLG,15.39601171683307
132,FLL,15.75680309606819
133,FLO,15.074746134368015
134,FNT,14.103320061709862
135,FOD,14.825805709363848
136,FSD,9.841166849723034
137,FSM,15.101020132294835
138,FWA,14.089289766013453
139,GCC,15.18689010584212
140,GCK,15.40439315921995
141,GEG,11.91834523622843
142,GFK,13.738297411751633
143,GGG,15.087123504769675
144,GJT,0.0
145,GNV,14.952856147829806
146,GPT,14.920007964718856
147,GRB,14.393068327713344
148,GRI,14.636927661099087
149,GRK,7.3612437447503165
150,GRR,13.23893841758483
151,GSO,14.63907582041935
152,GSP,14.62716434554127
153,GTF,15.09300347918168
154,GTR,15.551068239646746
155,GUC,12.011853130348294
156,GUM,13.130921947563579
157,HDN,14.481338010478318
158,HGR,14.075960905061162
159,HHH,0.0
160,HIB,12.877254923134114
161,HLN,15.207787218066496
162,HNL,15.945010119272547
163,HOB,3.9457773015873014
164,HOU,14.808511444403551
165,HPN,14.306300940342409
166,HRL,14.721454988467997
167,HSV,15.028178205404874
168,HTS,14.829802884274436
169,HVN,14.643282041491494
170,HYS,10.976093993562351
171,IAD,14.81522920601735
172,IAG,13.819205002713389
173,IAH,14.509970550579759
174,ICT,14.85166061303045
175,IDA,14.108777174926686
176,ILM,15.345635108780943
177,IMT,13.895771471556884
178,IND,14.31976905415129
179,INL,13.731394619413019
180,IPT,14.712009929078015
181,ISN,14.869161371704962
182,ISP,14.58725712381274
183,ITH,12.701016908206213
184,ITO,15.118491204406357
185,JAC,13.200039963969793
186,JAN,14.963746361171012
187,JAX,15.048902369715403
188,JFK,14.844467305368049
189,JHM,2.6238868823522514
190,JLN,14.810661014654158
191,JMS,14.514295759130517
192,JNU,12.729075304795622
193,JST,13.718683210422725
194,KOA,15.99097024525559
195,KTN,13.846643420853297
196,LAN,13.603007022576378
197,LAR,15.357559536059336
198,LAS,15.925970597538754
199,LAW,15.222085957278052
200,LAX,14.458968965137878
201,LBB,15.340980923988123
202,LBE,4.590593208786571
203,LBF,15.33630877292396
204,LBL,0.0
205,LCH,14.339634702176815
206,LCK,7.969126456864177
207,LEX,14.804620048603907
208,LFT,14.877507956479901
209,LGA,14.84657000603178
210,LGB,13.917986535642584
211,LIH,15.592288116498878
212,LIT,14.389310195445068
213,LNK,14.686809652825346
214,LNY,15.354730573629737
215,LRD,15.157245882999419
216,LSE,14.502036262340036
217,LWB,10.175692672600487
218,LWS,14.56195357653489
219,LYH,15.027446808391423
220,MAF,10.11368948342279
221,MBS,13.814554697002858
222,MCI,14.063098802864854
223,MCO,15.265896470189865
224,MCW,14.506679089709763
225,MDT,14.202696192261126
226,MDW,14.320818681730223
227,MEI,14.771111304564771
228,MEM,14.70924910661175
229,MFE,14.67079335728842
230,MFR,13.396166467943864
231,MGM,15.136929318781716
232,MHK,15.061808814292775
233,MHT,14.57277835357668
234,MIA,15.655902807295497
235,MKE,14.315783851216962
236,MKG,14.202603366940288
237,MKK,15.831696396859925
238,MLB,15.373172985971191
239,MLI,14.25671220679017
240,MLU,14.715393848734717
241,MMH,10.96096083251393
242,MOB,13.622581202047881
243,MOT,14.513105450219475
244,MQT,9.433774062833049
245,MRY,15.181154183346827
246,MSN,14.118834234781218
247,MSO,13.730602356727298
248,MSP,14.187329368949817
249,MSY,14.702398303119951
250,MTJ,15.395149597236692
251,MYR,13.364817832938009
252,OAJ,13.509021306147627
253,OAK,14.693983972397891
254,OGD,14.232936670353983
255,OGG,15.801787602575484
256,OGS,3.3079297849467895
257,OKC,14.859699551073628
258,OMA,14.458769349548152
259,OME,14.17586538151702
260,ONT,14.625799269021797
261,ORD,14.355345021809601
262,ORF,15.227316222352233
263,ORH,14.49799306672362
264,OTH,14.777367163090275
265,OTZ,14.03131491735946
266,OWB,13.698946815825664
267,PAE,14.00401805563315
268,PAH,14.717344689459159
269,PBG,10.182278249407307
270,PBI,15.688130044622799
271,PDX,14.54566209818057
272,PGD,15.085006923858144
273,PGV,8.801880102742631
274,PHF,14.964294436463494
275,PHL,14.7666310546279
276,PHX,15.840474012410823
277,PIA,14.250229138167779
278,PIB,14.824373747839857
279,PIE,15.274545290212547
280,PIH,14.69727654179018
281,PIR,15.094106117467582
282,PIT,14.25903519461942
283,PLN,14.020056609338658
284,PNS,14.924401245020784
285,PPG,1.7687927927927927
286,PQI,12.268189675761452
287,PRC,15.754446688446357
288,PSC,0.0
289,PSE,0.0
290,PSG,13.417927451851035
291,PSM,3.9605800317825635
292,PSP,15.829272423686078
293,PUB,15.549185190436868
294,PUW,14.201017273013926
295,PVD,14.630446735649773
296,PVU,13.094084524690444
297,PWM,14.489481060188822
298,RAP,15.230584195921882
299,RDD,14.281874110923223
300,RDM,15.299345888455562
301,RDU,14.892979646886841
302,RFD,14.05229432840646
303,RHI,13.843511454057147
304,RIC,15.004956833579008
305,RIW,15.437009071326429
306,RKS,9.858721294980368
307,RNO,15.546465816980124
308,ROA,15.212127028829691
309,ROC,14.077002988583544
310,ROW,15.362101705492787
311,RST,13.652656371334649
312,RSW,15.506421745413075
313,SAF,15.684293444866999
314,SAN,15.031413932311597
315,SAT,14.773347059452112
316,SAV,15.234220841267964
317,SBA,14.983295106628981
318,SBN,13.675417877073986
319,SBP,15.176888119452947
320,SBY,14.987819410573167
321,SCC,12.19259378481654
322,SCE,9.595625261050088
323,SCK,12.864401145603342
324,SDF,15.001524440545136
325,SEA,13.862095404095582
326,SFB,15.383522459127192
327,SFO,14.754803556949721
328,SGF,14.658672341821962
329,SGU,15.787841353636487
330,SHD,10.637507329275817
331,SHR,15.071095350682096
332,SHV,14.85818478887252
333,SIT,13.718375494232184
334,SJC,15.002209151139054
335,SJT,4.644545082598871
336,SJU,15.81065860081592
337,SLC,14.027935351638792
338,SLN,15.246458338123407
339,SMF,13.260218816533802
340,SMX,14.631509045455545
341,SNA,14.579684094708199
342,SPI,14.59730444610815
343,SPN,15.456714977020592
344,SPS,15.38478953136077
345,SRQ,15.475865325167947
346,STC,13.34228073510773
347,STL,14.564685237980063
348,STS,13.360750076777768
349,STT,15.903438345518882
350,STX,0.0
351,SUN,9.81013771503775
352,SUX,14.39260697798166
353,SWF,9.514748641247792
354,SWO,15.381808036513593
355,SYR,14.035935142982018
356,TLH,15.157282750211248
357,TOL,14.10152236850665
358,TPA,15.420565476449326
359,TRI,14.842537373423816
360,TTN,14.496435884542391
361,TUL,15.125632195618495
362,TUS,15.82971440843648
363,TVC,13.803667226964802
364,TWF,14.93644570311733
365,TXK,14.747841378803574
366,TYR,14.984260952147931
367,TYS,14.722320528578667
368,UIN,14.52956627652009
369,USA,9.07976087762998
370,VCT,13.916060272028325
371,VEL,14.924642553489361
372,VLD,15.036104691399853
373,VPS,14.632901064359654
374,WRG,14.684788320958912
375,XNA,15.076739131010275
376,XWA,13.99428537221683
377,YAK,12.555555143141905
378,YKM,13.62357378103685
379,YUM,13.817916504791295
