,Dest,Dest_Airport
0,ABE,13.106246409595451
1,ABI,12.659979930069342
2,ABQ,11.855371277595276
3,ABR,11.055381359305974
4,ABY,11.490291219833653
5,ACK,7.857365507978585
6,ACT,11.934112384426207
7,ACV,14.288451458509693
8,ACY,12.165894865972664
9,ADK,9.90578521953246
10,ADQ,12.95277835673614
11,AEX,11.445738363286024
12,AGS,11.352810693790705
13,AKN,11.187994826550236
14,ALB,12.442481159672848
15,ALO,11.416200569695029
16,ALS,7.331606780171477
17,ALW,12.132035750022087
18,AMA,12.817939885843202
19,ANC,12.183864763958814
20,APN,10.535189927980792
21,ART,9.920506380270476
22,ASE,12.946487583055134
23,ATL,11.285610223317487
24,ATW,12.017039920858137
25,ATY,9.882281393602396
26,AUS,11.960068878026677
27,AVL,12.167064444323428
28,AVP,12.74854264410027
29,AZA,13.797910646120467
30,AZO,12.59619835126369
31,BDL,12.285020610774447
32,BET,13.636152747053682
33,BFF,10.184768320805516
34,BFL,12.360395457130624
35,BFM,8.861440779179198
36,BGM,10.730286601083671
37,BGR,11.977124202676444
38,BHM,12.209910410453183
39,BIH,13.2505530414385
40,BIL,11.100650482546545
41,BIS,11.95634453201649
42,BJI,12.422011985369275
43,BKG,7.422934469636329
44,BLI,12.600575661834746
45,BLV,12.270788164798184
46,BMI,11.910293833905705
47,BNA,11.56501083357586
48,BOI,11.509989668124549
49,BOS,12.42438325211086
50,BPT,9.223515954072829
51,BQK,10.9956117233843
52,BQN,14.106859288141278
53,BRD,13.536429040957442
54,BRO,11.233497444028403
55,BRW,10.550358778325604
56,BTM,10.457179400678738
57,BTR,11.4490851313836
58,BTV,12.847260495823315
59,BUF,11.78408165429178
60,BUR,11.96596962694132
61,BWI,11.277289797135609
62,BZN,11.532524153052888
63,CAE,12.48375644036445
64,CAK,12.87076025348488
65,CDB,11.036447919852066
66,CDC,11.847428785584375
67,CDV,12.17336647850901
68,CGI,10.090711514170067
69,CHA,11.960752476318524
70,CHO,12.920846204410802
71,CHS,11.511018668882915
72,CID,12.132487454343703
73,CIU,9.858867236361696
74,CKB,12.294797839289457
75,CLE,11.784692408871956
76,CLL,11.826571232819342
77,CLT,11.48079526852216
78,CMH,11.68298349994324
79,CMI,12.665739869970215
80,CMX,12.39472872529486
81,CNY,11.480214896101815
82,COD,12.470274659423382
83,COS,12.132747017368072
84,COU,13.348841347747443
85,CPR,11.964829315699635
86,CRP,12.8380413929374
87,CRW,11.875518093573133
88,CSG,11.850434334663571
89,CVG,12.00267195350603
90,CWA,12.057740521561303
91,CYS,9.060350247931847
92,DAB,11.672769298921054
93,DAL,11.291099277937796
94,DAY,12.113510630514783
95,DBQ,13.0626613344427
96,DCA,12.026483208250928
97,DDC,9.571200046066338
98,DEC,11.194073120322557
99,DEN,11.438646261693782
100,DFW,11.657725628288558
101,DHN,10.717516404691144
102,DIK,15.00834355574244
103,DLG,10.492680458789009
104,DLH,12.0102914299844
105,DRO,12.09733851835474
106,DRT,12.587131847985692
107,DSM,12.14258134970633
108,DTW,11.404311361081296
109,DUT,14.803346574898844
110,DVL,10.045419035374742
111,EAR,9.795032809382288
112,EAT,10.90485345260131
113,EAU,11.375567177438064
114,ECP,11.314640774480177
115,EGE,11.629319506098144
116,EKO,11.043064851540066
117,ELM,13.149080084053534
118,ELP,12.337204069126647
119,ERI,11.443698637612863
120,ESC,10.103265094239717
121,EUG,11.25185285449449
122,EVV,12.42709981763616
123,EWN,12.41008645327497
124,EWR,12.007712225246053
125,EYW,11.29684816271578
126,FAI,11.510564436034016
127,FAR,11.751706698720968
128,FAT,11.74689741725874
129,FAY,11.707547059622389
130,FCA,11.213885847803608
131,FLG,11.809270797416996
132,FLL,11.747297511545344
133,FLO,13.181607916441097
134,FNT,11.350605588520375
135,FOD,14.156550194637964
136,FSD,11.528675150450375
137,FSM,11.717629020644692
138,FWA,11.73743516444045
139,GCC,10.747673690367597
140,GCK,11.096024430578728
141,GEG,11.18065360781828
142,GFK,11.577381669149878
143,GGG,10.751355689517204
144,GJT,12.388785361715236
145,GNV,11.43525670867166
146,GPT,12.035151111217296
147,GRB,11.683044670200903
148,GRI,12.465176879993445
149,GRK,10.41857200349172
150,GRR,11.788674946327466
151,GSO,12.154366228170137
152,GSP,12.524615068086506
153,GTF,11.62212782707963
154,GTR,11.42916701920072
155,GUC,13.1325427955179
156,GUM,11.034239006678671
157,HDN,11.491034167219286
158,HGR,17.608454774357092
159,HHH,11.896468041481567
160,HIB,11.127357924639552
161,HLN,11.431724666403207
162,HNL,11.189779774476367
163,HOB,13.282880028556306
164,HOU,11.34207711402433
165,HPN,13.834753015657892
166,HRL,11.712409000201342
167,HSV,12.563412916492052
168,HTS,11.523523711657347
169,HVN,13.386705516525618
170,HYS,11.574416049475186
171,IAD,11.608458807502336
172,IAG,15.201068984716912
173,IAH,11.499150966030513
174,ICT,11.531083204857865
175,IDA,12.47479590099922
176,ILM,11.67438930604919
177,IMT,11.517355385714133
178,IND,12.105851053324828
179,INL,10.473600038195055
180,IPT,7.878165009270497
181,ISN,13.467148433397744
182,ISP,11.536399207730325
183,ITH,11.32392352595662
184,ITO,11.42066145101786
185,JAC,10.901322776496176
186,JAN,12.343599143162752
187,JAX,12.2056905716025
188,JFK,12.22571674546655
189,JHM,9.4146819249518
190,JLN,10.743773115701156
191,JMS,9.208662091355723
192,JNU,12.095887248418595
193,JST,9.97430869770116
194,KOA,11.581116962882122
195,KTN,12.142050434586144
196,LAN,10.95645529028173
197,LAR,11.450230111677694
198,LAS,11.778057280125047
199,LAW,12.242565590938565
200,LAX,11.452250884063783
201,LBB,11.37657621553262
202,LBE,10.883111729087794
203,LBF,13.015053646033268
204,LBL,8.413925777314775
205,LCH,13.103979603445488
206,LCK,14.293778359240171
207,LEX,11.825674138173817
208,LFT,11.253336029538056
209,LGA,12.247843806350488
210,LGB,11.612189207475147
211,LIH,11.449607767652742
212,LIT,11.860047629642748
213,LNK,13.912075128783398
214,LNY,9.495961399509072
215,LRD,12.13070841761684
216,LSE,10.455537037684772
217,LWB,9.022709627843732
218,LWS,11.25440002033652
219,LYH,12.95354210303582
220,MAF,11.96492252851633
221,MBS,11.081064380556343
222,MCI,11.902522921284316
223,MCO,11.830368520859498
224,MCW,14.51195482589016
225,MDT,12.629732373491464
226,MDW,11.280797638535878
227,MEI,12.606574621888436
228,MEM,11.684913874141628
229,MFE,11.641419410621449
230,MFR,11.453211006062862
231,MGM,11.84117840671228
232,MHK,11.81389300764987
233,MHT,12.144975030314122
234,MIA,11.786950094758629
235,MKE,11.698112605314918
236,MKG,11.451385060702398
237,MKK,9.177544225684988
238,MLB,11.920870706804648
239,MLI,12.072867291569732
240,MLU,11.220550663347296
241,MMH,13.526061132505388
242,MOB,12.220915257510187
243,MOT,10.531353672359243
244,MQT,9.574003461509983
245,MRY,12.077928829966035
246,MSN,11.76429076154399
247,MSO,11.646917768209825
248,MSP,11.349921999735871
249,MSY,12.053536767971783
250,MTJ,12.297318567042876
251,MYR,11.340063213953236
252,OAJ,11.616734646798491
253,OAK,11.121469398894996
254,OGD,12.18156087927272
255,OGG,11.318095453768413
256,OGS,8.477451911266387
257,OKC,12.01290990224386
258,OMA,11.779325200631654
259,OME,13.587120029642689
260,ONT,11.421605064636095
261,ORD,11.3163035197134
262,ORF,12.14825540271658
263,ORH,13.996647809324513
264,OTH,10.526571799139456
265,OTZ,9.981397215107126
266,OWB,14.115881265346433
267,PAE,11.332385629559644
268,PAH,8.927630504560184
269,PBG,11.166531381117805
270,PBI,11.960035003298891
271,PDX,11.338048284431425
272,PGD,13.816423130709545
273,PGV,13.374697601445735
274,PHF,11.81738347575709
275,PHL,11.759680686717118
276,PHX,11.547365195296718
277,PIA,12.778997624657094
278,PIB,13.305892173324068
279,PIE,13.138384538377617
280,PIH,10.46356328849598
281,PIR,6.718733597947245
282,PIT,12.004760071916586
283,PLN,10.333148205740152
284,PNS,11.762260688470906
285,PPG,14.72851592786175
286,PQI,13.794586894490598
287,PRC,11.30432276122868
288,PSC,10.57316715320255
289,PSE,13.619945524473923
290,PSG,12.777702442047504
291,PSM,9.012731371997765
292,PSP,11.812160277578004
293,PUB,11.22813451178244
294,PUW,11.454741123245745
295,PVD,12.153810445848563
296,PVU,13.420985329714194
297,PWM,11.97535307143274
298,RAP,11.52309416690446
299,RDD,13.122000271283348
300,RDM,11.369506874440532
301,RDU,12.347690395124436
302,RFD,12.675477801450755
303,RHI,14.072679330049588
304,RIC,12.621243692391634
305,RIW,8.576331610781885
306,RKS,12.990610558936927
307,RNO,11.35859903532016
308,ROA,12.1779152464081
309,ROC,12.078193810548193
310,ROW,11.730611846284456
311,RST,13.401535812748
312,RSW,11.62018479821632
313,SAF,12.008799758446786
314,SAN,11.882352715237417
315,SAT,12.200002982596834
316,SAV,11.476897953946445
317,SBA,12.578334828076391
318,SBN,12.036697654581891
319,SBP,11.698873717356246
320,SBY,12.19442222477096
321,SCC,10.814120074497533
322,SCE,12.08183517656852
323,SCK,13.935594867275546
324,SDF,12.276610002346176
325,SEA,11.41566768711897
326,SFB,13.789954001483457
327,SFO,11.959654634803217
328,SGF,12.519625609379458
329,SGU,10.86360827452257
330,SHD,11.069281190318376
331,SHR,9.544587108678602
332,SHV,11.857481042128413
333,SIT,13.282155097563452
334,SJC,11.573428349878156
335,SJT,11.334526027327383
336,SJU,11.931641468569987
337,SLC,11.408369652890633
338,SLN,11.286393999313816
339,SMF,12.018191017848482
340,SMX,8.183174446382282
341,SNA,11.960652960131018
342,SPI,12.055100531387549
343,SPN,8.31685877814512
344,SPS,10.963290974596696
345,SRQ,11.792341239029016
346,STC,13.2166682317629
347,STL,11.54316026685108
348,STS,11.001163149790262
349,STT,11.016932274950562
350,STX,12.240673891392504
351,SUN,11.413797355315165
352,SUX,12.452812881492209
353,SWF,15.712492766489678
354,SWO,10.645625485535536
355,SYR,12.587251510105524
356,TLH,12.56808061485187
357,TOL,10.672826337997224
358,TPA,11.833135013465938
359,TRI,11.821368341445265
360,TTN,12.673636214281236
361,TUL,11.398005396600162
362,TUS,11.559915756622772
363,TVC,11.59852621005718
364,TWF,9.638402617413847
365,TXK,12.541834839763506
366,TYR,11.544708482420637
367,TYS,12.310789149011796
368,UIN,12.623444023840236
369,USA,13.340739100214735
370,VCT,11.586649960333808
371,VEL,12.151623109701047
372,VLD,12.90513297993804
373,VPS,12.180851214385228
374,WRG,11.316765415212656
375,XNA,11.94630189217231
376,XWA,11.9367247680262
377,YAK,10.468668760132308
378,YKM,11.315612674185946
379,YUM,11.409058903486578
