,Operating_Airline,Airline
0,9E,11.592539894157959
1,AA,11.723678244658917
2,AS,11.76060670362557
3,AX,11.651390573360054
4,B6,11.924997008222386
5,C5,11.623665937745672
6,CP,11.473912101076062
7,DL,11.646387289119534
8,EM,12.266935868681628
9,EV,11.613438679570864
10,F9,11.69131994517642
11,G4,11.937575807798606
12,G7,11.727859820873823
13,HA,11.746514787142308
14,KS,11.989175280990231
15,MQ,11.516279187884379
16,NK,11.900555416756415
17,OH,11.616940992590353
18,OO,11.511260170040785
19,PT,11.562380457489182
20,QX,11.51232111022244
21,UA,11.69476996913566
22,WN,11.642350634358298
23,YV,11.619045303034573
24,YX,11.640509912502228
25,ZW,11.532165938443097
